,닉네임,ID,내용,날짜,시간
53,강다니엘 심바녤,@danielspaws,RT @tequila70: 코로나로 방청객 출입이 불가능한 요즘 강다니엘은 함성과 추임새로 공백을 느낄 수 없도록 꽉꽉 채우고 있다. 소리를 지르고 대본을 던지며 온 몸으로. 배틀의 MC이자 배틀의 일부가 된 강다니엘. '스우파'란 바둑판에 올려진…,2021-09-02,08:23:43
54,너와나의 핑크머리걔 pinkhairguy,@pinkhairguy,"RT @MyPolaris1210: 근데 강다니엘 특허 허벅지 쓸기 춤‼️
진짜 수많은 사람들이 따라했지만
니에리의 이 느낌을 살리질 못해

저 긴 팔다리에 허리의 유연함과 처연함이 공존하되
절대 느끼해도 안되고 어설픈 웨이브도 주면 안됨

간지러운…",2021-09-02,08:23:22
55,💛(·•︠‿•︡ )녤만사랑한다녤💛,@DKlove_1210,"RT @rhrhrhrlrlrl: 스우파 보면서 또 느낀 것 중 하나는 강다니엘 음악 진짜 다양하게 많이 듣는구나 
#강다니엘 #KANGDANIEL 
#스트릿우먼파이터 #스우파 
@konnect_danielk https://t.co/DqOFXHWtSn",2021-09-02,08:23:12
56,NM,@GJPPL10,"RT @storyblossom333: [우빈의 리듬파워] 강다니엘, '스우파'가 둔 신의 한수 (출처 : 텐아시아 | 네이버 TV연예) https://t.co/jA5O61NN2s

역시 울 강다니엘 짜란다👍♥️♥️♥️

@konnect_danielk…",2021-09-02,08:23:10
57,okzzng,@okzzng,"&lt;스우파&gt; 스테이지 위의 강다니엘
 https://t.co/ktuVi6wKoy

#강다니엘      #KANGDANIEL 
@konnect_danielk",2021-09-02,08:22:11
58,BEMINE🤞,@yiyiyijjiang,RT @sinabrodaniel: 📰 내로라하는 여성 댄스 크루들의 불꽃 튀는 대결의 중심에는 뜻밖에도 MC 강다니엘이 있습니다. 그는 무대를 뒤흔드는 댄서들 사이에서 가장 진지하고 흥미로운 눈빛으로 배틀을 관찰합니다. 금방이라도 배틀에 뛰어들고 싶…,2021-09-02,08:21:46
59,뷰티풀다녤,@jseona0526,"RT @DanielK_youtube: 스우파의 신의 한수
MC 강다니엘 리액션 영상 플리입니다 
예쁜 댓글도 많이 부탁드려요

This is MC Daniel's reaction cam playlist
Please write many good com…",2021-09-02,08:21:38
60,제제,@catkangdog,RT @sinabrodaniel: 📰 내로라하는 여성 댄스 크루들의 불꽃 튀는 대결의 중심에는 뜻밖에도 MC 강다니엘이 있습니다. 그는 무대를 뒤흔드는 댄서들 사이에서 가장 진지하고 흥미로운 눈빛으로 배틀을 관찰합니다. 금방이라도 배틀에 뛰어들고 싶…,2021-09-02,08:21:34
61,theskydaniel,@theskydaniel,"@into__universe @konnect_danielk 꺄아~~~~너무너무너무 이쁘당😍😍😍 강다니엘 만만세 🙆🙆🙆
#강다니엘 #KANGDANIEL 
@konnect_danielk https://t.co/FABP6sM7hI",2021-09-02,08:21:19
62,🦖 시나브로다녤 🖋🖤 MC다니엘⁰⁸²⁴🇰🇷🦖,@sinabrodaniel,📰 내로라하는 여성 댄스 크루들의 불꽃 튀는 대결의 중심에는 뜻밖에도 MC 강다니엘이 있습니다. 그는 무대를 뒤흔드는 댄서들 사이에서 가장 진지하고 흥미로운 눈빛으로 배틀을 관찰합니다. 금방이라도 배틀에 뛰… https://t.co/BICYdDEjPM,2021-09-02,08:20:19
63,강다니엘 양도계,@_dlsguddideh,"강다니엘 인형 사모예드 동전지갑 파우치 양도

깨끗하고 사용한 적 없어요 원하는 가격 거의 맞춰드리니 편하게 디엠 주세요!

강다니엘 다니티 스우파 스트리트우먼파이터 스트릿우먼파이터 포카 앨범 양도 나눔 구… https://t.co/nJPGzs6cNS",2021-09-02,08:18:40
64,🦖카렌이모｡karen 🦕,@KarenKim01,"[네이버 블로그]
다니티들, 토닥리즘- 강다니엘과 집콕 데이트, 유튜브에 떴어요!!(유니버스)
https://t.co/crCp5qPKpT

#강다니엘 #KANGDANIEL @konnect_danielk",2021-09-02,08:18:07
65,녤만바라바,@rhyUCkL97WLtu4Z,"RT @rhrhrhrlrlrl: 스우파 보면서 또 느낀 것 중 하나는 강다니엘 음악 진짜 다양하게 많이 듣는구나 
#강다니엘 #KANGDANIEL 
#스트릿우먼파이터 #스우파 
@konnect_danielk https://t.co/DqOFXHWtSn",2021-09-02,08:18:00
66,너와나의 핑크머리걔 pinkhairguy,@pinkhairguy,"RT @Danielbethebest: VOGUE | daily issue

&lt;스우파&gt; 스테이지 위의 강다니엘

https://t.co/dSzqoaRvTB

#스우파 
#강다니엘 #KANGDANIEL 
@konnect_danielk",2021-09-02,08:17:30
67,☀️🌺🌸Tye-Mi-Ka🌸🌺☀️,@Tyemika,"RT @PinkWully: 20210902
강다니엘 
Kang  Daniel 
https://t.co/wk2HoIOznh
#강다니엘 #KangDaniel #姜丹尼尔 #カンダニエル #คังแดเนียล
@konnect_danielk https://t.…",2021-09-02,08:17:19
68,강다니엘 심바녤,@danielspaws,"RT @rhrhrhrlrlrl: 스우파 보면서 또 느낀 것 중 하나는 강다니엘 음악 진짜 다양하게 많이 듣는구나 
#강다니엘 #KANGDANIEL 
#스트릿우먼파이터 #스우파 
@konnect_danielk https://t.co/DqOFXHWtSn",2021-09-02,08:15:50
69,♡チョンプー♡,@channphu,"RT @mX43dLgvAgvTeE0: 강다니엘, '스우파'가 둔 신의 한수 (출처 : 텐아시아 | 네이버 TV연예) https://t.co/BFaNIO5qZ4

#강다니엘 #KANGDANIEL 
@konnect_danielk https://t.co/…",2021-09-02,08:15:22
70,⁰⁴¹³ 🔮ANTIDOTE,@Danielbethebest,"VOGUE | daily issue

&lt;스우파&gt; 스테이지 위의 강다니엘

https://t.co/dSzqoaRvTB

#스우파 
#강다니엘 #KANGDANIEL 
@konnect_danielk",2021-09-02,08:15:21
71,녤만바라바,@rhyUCkL97WLtu4Z,"RT @daniel_reven: 강다니엘, '스우파'가 둔 신의 한수 [우빈의 리듬파워] https://t.co/ug7iH4Wc8z @YouTube 님이 씀

#강다니엘 #KANGDANIEL
@konnect_danielk",2021-09-02,08:15:21
72,Mandy,@Mandy57394479,"RT @storyblossom333: [우빈의 리듬파워] 강다니엘, '스우파'가 둔 신의 한수 (출처 : 텐아시아 | 네이버 TV연예) https://t.co/jA5O61NN2s

역시 울 강다니엘 짜란다👍♥️♥️♥️

@konnect_danielk…",2021-09-02,08:15:13
73,danielism🤟🏻,@danielismhere,"RT @mX43dLgvAgvTeE0: 강다니엘, '스우파'가 둔 신의 한수 (출처 : 텐아시아 | 네이버 TV연예) https://t.co/BFaNIO5qZ4

#강다니엘 #KANGDANIEL 
@konnect_danielk https://t.co/…",2021-09-02,08:15:05
74,강다니엘 심바녤,@danielspaws,"RT @DanielK_youtube: 스우파의 신의 한수
MC 강다니엘 리액션 영상 플리입니다 
예쁜 댓글도 많이 부탁드려요

This is MC Daniel's reaction cam playlist
Please write many good com…",2021-09-02,08:14:18
75,Leona Lee,@leonawonderland,"&lt;스우파&gt; 스테이지 위의 강다니엘 https://t.co/TWOuH8fGr0
#강다니엘 #KangDaniel 
@konnect_danielk",2021-09-02,08:13:26
76,AWESOME DANIEL.K❤,@jhdn96,"&lt;스우파&gt; 스테이지 위의 강다니엘 https://t.co/FiOH5MLVN5

#강다니엘 #KangDaniel",2021-09-02,08:13:13
77,멍뭉미녜리짱🐈,@angeldanity1210,"RT @DanielK_youtube: 스우파의 신의 한수
MC 강다니엘 리액션 영상 플리입니다 
예쁜 댓글도 많이 부탁드려요

This is MC Daniel's reaction cam playlist
Please write many good com…",2021-09-02,08:13:10
78,내우주는다녤(·•︠ᴗ•︡)☆・*♥,@kangdani_k,"강다니엘을 ‘서바이벌 오디션 프로그램에서 1위를 차지해 센터로 데뷔한 아이돌’로만 알고 있었나요? 그의 진가는 &lt;스우파&gt;에서 제대로 뿜어 나옵니다.

&lt;스우파&gt; 스테이지 위의 강다니엘… https://t.co/GbxVweKzEZ",2021-09-02,08:12:57
79,🏹녤사수바라기🏹,@blueimajination,"RT @DanielK_album: 📢강다니엘음서팀 추가 앨범 기부모금 선물 - 슬리퍼

노랑이에 이어 Ver.2 Black‼️
폭신폭신하고 예쁜 슬리퍼가 나에게로 슝💨

기간: 8월28일(토) ~ 9월12일 (일)
계좌 : 3333-17-539848…",2021-09-02,08:12:40
80,첫눈에 다녤,@atfirstsight_KD,"RT @DanielK_youtube: 스우파의 신의 한수
MC 강다니엘 리액션 영상 플리입니다 
예쁜 댓글도 많이 부탁드려요

This is MC Daniel's reaction cam playlist
Please write many good com…",2021-09-02,08:11:53
81,두기다니엘,@berylove77,@into__universe @konnect_danielk 바로 이거죠 ㅠㅠㅠㅠㅠㅠ 강다니엘 완전 사랑~~❤️❤️❤️,2021-09-02,08:11:28
82,나의힐링천사녤,@Chaeeunyoung1,"RT @ppotto_k_here: 스우파 2회 MC강다니엘 𝕣𝕖𝕒𝕕𝕪, 𝕗𝕚𝕘𝕙𝕥! 
레디파이트 속 렛츠파이트를 찾아보세요 🔍 https://t.co/dXaDiSeCUu",2021-09-02,08:11:26
